LR

All accuracies: [0.7638623171024227, 0.8177946749820102, 0.8362926361237708, 0.8598829455504917, 0.868204365555289, 0.8642777644519068, 0.8847771647877188, 0.8785579275605659, 0.9042758455265052, 0.9023905013192612]
All AUCs: [0.7643865295462868, 0.8189288231460307, 0.8368686661277657, 0.8602507449040455, 0.8685704518708388, 0.8646590253260467, 0.8852146583390332, 0.8789629012682599, 0.9046177190206739, 0.9027167264294121]
Stdev of AUCs: [0.0005564951807735002, 0.0005480764115234334, 0.0007211357095297917, 0.0005759186272349941, 0.0005668321191978568, 0.0006721299484348695, 0.0006631734864173742, 0.0007111412667554242, 0.0005872020036372942, 0.0006489708654461574]
95th CI of AUCs: [0.7642267696986588, 0.8187714801770014, 0.8366616409188261, 0.8600854089311353, 0.8684077244724312, 0.8644660687976561, 0.8850242730512512, 0.8787587452857034, 0.9044491437915093, 0.9025304184609684]
95th CI of AUCs: [0.7645462893939147, 0.8190861661150599, 0.8370756913367051, 0.860416080876956, 0.8687331792692463, 0.8648519818544372, 0.8854050436268153, 0.8791670572508163, 0.9047862942498386, 0.9029030343978557]
All precisions: [0.7692060679863617, 0.8217449024603674, 0.837758185122337, 0.8605534448095089, 0.8688318876701085, 0.8649179289906062, 0.8855223915948354, 0.8792372407310498, 0.9047562407694416, 0.9028497514211921]
All recalls: [0.7638623171024227, 0.8177946749820102, 0.8362926361237708, 0.8598829455504917, 0.868204365555289, 0.8642777644519068, 0.8847771647877188, 0.8785579275605659, 0.9042758455265052, 0.9023905013192612]
All F1s: [0.7629790930287453, 0.8175075295965136, 0.8362481572046525, 0.8598948157880212, 0.868217710707329, 0.8642932347234586, 0.8847885012790074, 0.8785718237515094, 0.9042909333900259, 0.9024054111220888]
Stdev of F1s: [0.0005989459675982899, 0.0005282144316967418, 0.0007195377222634304, 0.0005844307964769476, 0.000563276726326658, 0.0006725149667429782, 0.0006657535277137571, 0.0007049437947138093, 0.0005829674353149364, 0.0006437986415798564]
95th CI of F1s: [0.7628071463168478, 0.8173558886478798, 0.8360415907493752, 0.8597270361230394, 0.8680560039988446, 0.8641001676631743, 0.8845973753073549, 0.8783694469527147, 0.9041235738299512, 0.9022205880069294]
95th CI of F1s: [0.763151039740643, 0.8176591705451477, 0.8364547236599298, 0.8600625954530031, 0.8683794174158134, 0.8644863017837429, 0.88497962725066, 0.8787742005503043, 0.9044582929501004, 0.9025902342372483]
